#{"t_start": 1765962115.350492, "env_id": "ALE/Breakout-v5"}
r,l,t
4.0,303,3.627229
2.0,226,4.288228
0.0,182,4.712006
2.0,206,5.35331
1.0,199,5.913189
2.0,243,6.737349
3.0,286,7.681405
2.0,231,8.320015
2.0,254,9.174357
2.0,235,10.112699
2.0,246,10.92117
0.0,152,11.362444
2.0,259,12.237463
3.0,287,13.313902
1.0,203,14.007069
2.0,227,14.799636
0.0,138,15.359243
3.0,277,17.038394
0.0,154,17.509033
3.0,254,19.023616
1.0,208,19.939194
3.0,309,21.189828
3.0,250,22.262771
2.0,227,23.042383
2.0,246,23.947749
2.0,235,24.840343
0.0,155,25.280637
2.0,219,26.170836
3.0,276,27.449699
1.0,183,28.206326
4.0,307,29.432881
1.0,210,30.24466
0.0,148,30.753592
3.0,291,31.995543
4.0,319,33.243228
3.0,283,34.246704
3.0,313,35.382879
0.0,147,35.816854
1.0,184,36.454964
3.0,288,37.487955
1.0,162,37.969265
4.0,291,39.080771
1.0,187,39.721497
1.0,204,40.353982
2.0,237,41.286048
0.0,148,41.715322
4.0,347,43.092133
1.0,203,43.772114
